location name,2021,2022
Airport,0,2
Alandur,1,2
CMBT,3,3
Central,3,4
Egmore,2,2
Guindy,0,1
Meenambakkam,0,1
Teynampet,0,3
Thirumangalam,2,2
Vadapalani,1,1
Washermenpet,2,4
saidapet,0,2
Total,14,27
