feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,Taxa,Log2FC,Mean_rel_abt_on_kiosk
Serinicoccus.profundi,is_kiosk,Kiosk,0.0025434451637038,0.0003044555296711,41,41,3.9327927822836003e-10,2.7323733217395303e-09,Serinicoccus.profundi,0.7324184795913702,0.0032845683846153
Serinicoccus.chungangensis,is_kiosk,Kiosk,0.0023100620401082,0.0002767371548832,41,41,4.0108232245717803e-10,2.7323733217395303e-09,Serinicoccus.chungangensis,0.8729338946296039,0.0022945841538461
Paracoccus.yeei,is_kiosk,Kiosk,0.0040461404258149,0.0005237118833908,41,41,3.3215609245446e-09,2.19424327742644e-08,Paracoccus.yeei,0.6931225271973389,0.0072374609230769
Janibacter.melonis,is_kiosk,Kiosk,0.0034703031093644,0.0004643011145678,41,41,5.664128905581131e-09,3.63170618063732e-08,Janibacter.melonis,0.6120393997766262,0.0063796542307692
Chryseobacterium.taklimakanense,is_kiosk,Kiosk,0.0017731624364579,0.0002466595232642,41,41,1.36811840011489e-08,8.52142317785849e-08,Chryseobacterium.taklimakanense,0.5305967657252229,0.0015229979230769
Serinicoccus.marinus,is_kiosk,Kiosk,0.002044479050472,0.0002994872992602,41,41,4.22504601447419e-08,2.55850008654271e-07,Serinicoccus.marinus,0.6285487911518715,0.002240867
Chroococcidiopsis.thermalis,is_kiosk,Kiosk,0.0052994144501278,0.0008032753467204,41,41,1.17211993597457e-07,6.90600394709343e-07,Chroococcidiopsis.thermalis,1.6087086172526712,0.0062551851538461
Lysobacter.oculi,is_kiosk,Kiosk,0.0018033809283416,0.0002986537510831,41,41,5.04303329843259e-07,2.89310857646922e-06,Lysobacter.oculi,0.4852876751656882,0.0017328083076923
Brevundimonas.naejangsanensis,is_kiosk,Kiosk,0.0015059440898138,0.0002503069929543,41,41,5.40555174565458e-07,3.02156482193e-06,Brevundimonas.naejangsanensis,0.2617484563018788,0.0012994826153846
Cutibacterium.acnes,is_kiosk,Kiosk,-0.050312860959978,0.0086852611504488,41,41,1.09516004749743e-06,5.96862225886099e-06,Cutibacterium.acnes,-3.5565853203240527,0.0049874603846153
Malassezia.restricta,is_kiosk,Kiosk,-0.0127488117051145,0.0024935100541608,41,41,9.99746578461046e-06,5.31572570986605e-05,Malassezia.restricta,-3.3459401046011745,0.001545649076923
Escherichia.coli,is_kiosk,Kiosk,0.0017273349339993,0.0003525769960805,41,41,1.8480526998891e-05,9.59227353751961e-05,Escherichia.coli,0.4476375760540918,0.0016189165384615
Paracoccus.sanguinis,is_kiosk,Kiosk,0.0050173529434847,0.0010145335130664,41,41,2.00888868334163e-05,0.0001018459844112,Paracoccus.sanguinis,0.5075374960036987,0.0121344296923076
Dietzia.lutea,is_kiosk,Kiosk,0.0012166037696496,0.0002514861246118,41,41,2.26513541321641e-05,0.0001122271636548,Dietzia.lutea,-0.0748448977236435,0.0012120374615384
Brachybacterium.avium,is_kiosk,Kiosk,0.0010555193168372,0.0002192192218032,41,41,2.36295379006749e-05,0.0001128479803972,Brachybacterium.avium,-0.270732316993838,0.001134652
Thermomonas.sp..SY21,is_kiosk,Kiosk,0.0022355145932312,0.0004645296295449,41,41,2.38119591663889e-05,0.0001128479803972,Thermomonas.sp..SY21,0.7648514870716401,0.0022494725384615
Stenotrophomonas.acidaminiphila,is_kiosk,Kiosk,0.0014087823920432,0.0003006675829909,41,41,3.52785160497842e-05,0.000163632265933,Stenotrophomonas.acidaminiphila,0.1389354521050698,0.0012255842307692
Corynebacterium.segmentosum,is_kiosk,Kiosk,-0.0025739295457095,0.0005828131048312,41,41,8.11265404849069e-05,0.0003609303229736,Corynebacterium.segmentosum,-2.275290940079368,0.0010190014615384
Staphylococcus.haemolyticus,is_kiosk,Kiosk,0.0010268523447308,0.0002351005028355,41,41,9.34928507481954e-05,0.0004076288292621,Staphylococcus.haemolyticus,-0.3738858747350928,0.000932222076923
Brachybacterium.vulturis,is_kiosk,Kiosk,0.0009957978710396,0.0002363438872227,41,41,0.0001491958918864,0.0006377393025732,Brachybacterium.vulturis,-0.2954859953002255,0.0012915838461538
Luteimonas.sp..YGD11.2,is_kiosk,Kiosk,0.0011617231469945,0.0002734024779578,41,41,0.0002328636643336,0.0009762361312448,Luteimonas.sp..YGD11.2,-0.4520304445016627,0.001284007
Gordonia.sp..JH63,is_kiosk,Kiosk,0.001497816800167,0.0003879555819458,41,41,0.0005001264266155,0.0020190289074478,Gordonia.sp..JH63,0.271183461985192,0.0017995
Gordonia.terrae,is_kiosk,Kiosk,0.0019045806346006,0.0005092683176043,41,41,0.00068762936324,0.0026768428783272,Gordonia.terrae,0.4728117641757183,0.002708317076923
Cloacibacterium.normanense,is_kiosk,Kiosk,0.0024223417649465,0.0006611090669167,41,41,0.0007543846728274,0.0028851905030944,Cloacibacterium.normanense,0.601199495731187,0.0031089375384615
