feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Brachybacterium.avium	is_kiosk	Kiosk	0.0010555193168372	0.000219219221803257	41	41	2.36295379006749e-05	0.000112847980397234
Thermomonas.sp..SY21	is_kiosk	Kiosk	0.00223551459323121	0.000464529629544997	41	41	2.38119591663889e-05	0.000112847980397234
Stenotrophomonas.acidaminiphila	is_kiosk	Kiosk	0.00140878239204326	0.00030066758299096	41	41	3.52785160497842e-05	0.000163632265933041
Corynebacterium.segmentosum	is_kiosk	Kiosk	-0.00257392954570959	0.000582813104831282	41	41	8.11265404849069e-05	0.000360930322973667
Aspergillus.oryzae	Year_categorical	Batch_2	-0.00297210636151022	0.000672825631819218	41	41	8.03754531627295e-05	0.000360930322973667
Staphylococcus.haemolyticus	is_kiosk	Kiosk	0.00102685234473087	0.000235100502835591	41	41	9.34928507481954e-05	0.000407628829262132
Brachybacterium.vulturis	is_kiosk	Kiosk	0.000995797871039696	0.000236343887222772	41	41	0.000149195891886409	0.000637739302573279
Luteimonas.sp..YGD11.2	is_kiosk	Kiosk	0.00116172314699452	0.000273402477957827	41	41	0.000232863664333624	0.000976236131244809
Aspergillus.fumigatus	Year_categorical	Batch_2	-0.00193385839909874	0.000479513892461024	41	41	0.000256052357691919	0.00105319649012903
Gordonia.sp..JH63	is_kiosk	Kiosk	0.00149781680016702	0.000387955581945859	41	41	0.000500126426615509	0.0020190289074478
Serinicoccus.profundi	Year_categorical	Batch_2	0.00113022178771848	0.000298764270276261	41	41	0.000534556577430949	0.00211878788872631
Gordonia.terrae	is_kiosk	Kiosk	0.0019045806346006	0.000509268317604356	41	41	0.000687629363240026	0.00267684287832724
Cloacibacterium.normanense	is_kiosk	Kiosk	0.0024223417649465	0.00066110906691676	41	41	0.000754384672827436	0.0028851905030944
Acinetobacter.junii	is_kiosk	Kiosk	-0.00845848471930456	0.00235690290644231	41	41	0.000936112164366532	0.00351849054882593
Staphylococcus.epidermidis	is_kiosk	Kiosk	-0.00120729389719761	0.000342052796342667	41	41	0.00110821893555434	0.00409477505001435
Dietzia.sp..oral.taxon.368	is_kiosk	Kiosk	0.00107951778428621	0.000316701095617811	41	41	0.00156616096890835	0.00569038485370033
Staphylococcus.saprophyticus	Year_categorical	Batch_2	-0.00224248828895133	0.000674989547507479	41	41	0.00198220956828544	0.00708396206370861
Brevibacterium.luteolum	is_kiosk	Kiosk	0.00081686766276038	0.000247439021928301	41	41	0.00215819097205134	0.00758847793398696
Staphylococcus.arlettae	Year_categorical	Batch_2	-0.0048617658701321	0.00148045787178903	41	41	0.00220343551519974	0.00762458638592927
Ornithinimicrobium.flavum	Year_categorical	Batch_2	0.00139463662240334	0.0004443748134348	41	41	0.00327792014576324	0.011165415496506
