Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore
Janibacter indicus,1.0,0.9904988123515439,0.7692307692307693,0.9666666666666667,0.8108108108108109,0.972972972972973,0.8020833333333334,1.0,1.0,0.9666666666666667,0.9615384615384616,0.058823529411764705,0.9767441860465116,0.8648648648648649,0.9722222222222222,,0.9411764705882353,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,1.0,1.0
Stenotrophomonas maltophilia,1.0,0.995249406175772,0.9948717948717949,1.0,0.9594594594594594,1.0,0.9375,0.9864864864864865,1.0,1.0,0.9807692307692307,0.9803921568627451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bradyrhizobium sp. BTAi1,1.0,0.6057007125890737,0.764102564102564,1.0,0.7094594594594594,0.5225225225225225,0.03125,1.0,0.5757575757575758,1.0,1.0,0.0196078431372549,1.0,0.4594594594594595,0.6944444444444444,,0.7647058823529411,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,1.0,1.0
Brevundimonas naejangsanensis,1.0,0.9453681710213777,0.8717948717948718,0.9666666666666667,0.9391891891891891,0.9819819819819819,0.6354166666666666,0.972972972972973,1.0,0.8666666666666667,0.9615384615384616,0.5294117647058824,0.9767441860465116,1.0,0.9722222222222222,0.4117647058823529,0.9411764705882353,1.0,1.0,1.0,0.5625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5384615384615384,1.0,1.0
Micrococcus luteus,1.0,1.0,0.841025641025641,1.0,0.9121621621621622,1.0,0.8958333333333334,1.0,1.0,1.0,0.9807692307692307,0.7058823529411765,1.0,1.0,1.0,0.35294117647058826,0.9411764705882353,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,1.0,1.0
Kocuria palustris,1.0,0.9619952494061758,0.7794871794871795,0.9888888888888889,0.8783783783783784,0.990990990990991,0.8333333333333334,1.0,1.0,0.9666666666666667,0.9615384615384616,0.17647058823529413,1.0,1.0,1.0,,0.9411764705882353,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
Plasmodium relictum,1.0,0.9287410926365796,0.7846153846153846,1.0,0.7905405405405406,1.0,0.14583333333333334,1.0,1.0,1.0,1.0,0.1568627450980392,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,1.0,1.0
Xanthomonas campestris,1.0,0.7957244655581948,0.7846153846153846,0.9833333333333333,0.8581081081081081,0.990990990990991,0.9479166666666666,0.972972972972973,1.0,0.9833333333333333,0.9807692307692307,0.39215686274509803,0.9767441860465116,0.972972972972973,1.0,0.23529411764705882,0.9411764705882353,1.0,1.0,1.0,0.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46153846153846156,1.0,1.0
Paracoccus sp. Arc7-R13,1.0,0.8123515439429929,0.7794871794871795,0.95,0.9662162162162162,0.990990990990991,0.8333333333333334,0.9864864864864865,1.0,0.9166666666666666,0.9807692307692307,0.27450980392156865,1.0,1.0,1.0,0.47058823529411764,1.0,1.0,1.0,1.0,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23076923076923078,1.0,1.0
Paracoccus sp. AK26,1.0,0.7410926365795725,0.7794871794871795,0.9888888888888889,0.8581081081081081,0.9459459459459459,0.78125,0.9864864864864865,1.0,0.85,0.9807692307692307,0.0784313725490196,0.9534883720930233,0.8378378378378378,0.9722222222222222,0.47058823529411764,0.9411764705882353,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15384615384615385,1.0,1.0
