Species,prevalence
Thalassiosira pseudonana,1.0
Nocardioides sp. S-1144,1.0
Nocardioides sp. HDW12B,1.0
Nocardioides sp. R-3366,1.0
Nocardioides sp. JS614,1.0
Nocardioides sp. zg-579,1.0
Nocardioides sp. CF8,1.0
Malassezia restricta,1.0
Cloacibacterium normanense,1.0
Flavobacterium haoranii,1.0
Chryseobacterium haifense,1.0
Chryseobacterium taklimakanense,1.0
Chryseobacterium sp. F5649,1.0
Sorangium cellulosum,1.0
Corallococcus coralloides,1.0
Thauera sp. MZ1T,1.0
Aquabacterium olei,1.0
Nocardioides daphniae,1.0
Nocardioides dokdonensis,1.0
Nocardioides euryhalodurans,1.0
Nocardioides seonyuensis,1.0
Nocardioides sp. HDW12A,1.0
Achromobacter spanius,1.0
Achromobacter xylosoxidans,1.0
Massilia sp. WG5,1.0
Massilia oculi,1.0
Cupriavidus taiwanensis,1.0
Burkholderia gladioli,1.0
Alicycliphilus denitrificans,1.0
Ramlibacter tataouinensis,1.0
Ottowia oryzae,1.0
Variovorax paradoxus,1.0
Hydrogenophaga sp. BA0156,1.0
Hydrogenophaga sp. PBC,1.0
Comamonas testosteroni,1.0
Comamonas aquatica,1.0
Acidovorax carolinensis,1.0
Kocuria rosea,1.0
Kocuria sp. KD4,1.0
Kocuria flava,1.0
Kocuria palustris,1.0
Micrococcus sp. KBS0714,1.0
Micrococcus luteus,1.0
Micropruina glycogenica,1.0
Acidovorax sp. KKS102,1.0
Acidovorax sp. 1608163,1.0
Skermanella pratensis,1.0
Azospirillum brasilense,1.0
Roseomonas gilardii,1.0
Roseomonas mucosa,1.0
Kocuria indica,1.0
Kocuria turfanensis,1.0
Brevundimonas vancanneytii,1.0
Brevundimonas naejangsanensis,1.0
Brevundimonas diminuta,1.0
Porphyrobacter sp. YT40,1.0
Novosphingobium resinovorum,1.0
Novosphingobium sp. THN1,1.0
Sphingopyxis macrogoltabida,1.0
Sphingomonas insulae,1.0
Sphingomonas hengshuiensis,1.0
Sphingomonas sanxanigenens,1.0
Sphingomonas taxi,1.0
Sphingomonas paucimobilis,1.0
Sphingomonas koreensis,1.0
Rothia mucilaginosa,1.0
Sphingomonas sp. LMO-1,1.0
Sphingomonas sp. PAMC26645,1.0
Sphingomonas sp. FARSPH,1.0
Sphingomonas sp. AAP5,1.0
Sphingomonas sp. LK11,1.0
Sphingomonas sp. IC081,1.0
Sphingobium sp. PAMC28499,1.0
Sphingobium sp. YG1,1.0
Sphingobium yanoikuyae,1.0
Methylorubrum populi,1.0
Rhodopseudomonas palustris,1.0
Bosea sp. F3-2,1.0
Bosea sp. Tri-49,1.0
Bosea sp. RAC05,1.0
Shinella sp. HZN7,1.0
Ensifer adhaerens,1.0
Sinorhizobium fredii,1.0
Ornithinimicrobium sp. HY006,1.0
Ornithinimicrobium sp. AMA3305,1.0
Serinicoccus marinus,1.0
Serinicoccus chungangensis,1.0
Serinicoccus profundi,1.0
Janibacter melonis,1.0
Janibacter limosus,1.0
Janibacter indicus,1.0
Agrobacterium tumefaciens,1.0
Rhizobium flavum,1.0
Rhizobium leguminosarum,1.0
Rhizobium sp. WL3,1.0
Pannonibacter phragmitetus,1.0
Haematobacter massiliensis,1.0
Microbacterium sp. 4R-513,1.0
Microbacterium sp. PM5,1.0
Microbacterium sp. LKL04,1.0
Microbacterium sp. ABRD_28,1.0
Microbacterium sp. 10M-3C3,1.0
Microbacterium sp. No. 7,1.0
Phycicoccus sp. HDW14,1.0
Ornithinimicrobium flavum,1.0
Rhodobacter sphaeroides,1.0
Paracoccus jeotgali,1.0
Paracoccus denitrificans,1.0
Paracoccus pantotrophus,1.0
Paracoccus aminovorans,1.0
Paracoccus zhejiangensis,1.0
Paracoccus contaminans,1.0
Paracoccus yeei,1.0
Microbacterium sediminis,1.0
Microbacterium oleivorans,1.0
Microbacterium hominis,1.0
Microbacterium foliorum,1.0
Microbacterium chocolatum,1.0
Microbacterium aurum,1.0
Paracoccus sanguinis,1.0
Paracoccus sp. 2251,1.0
Paracoccus sp. Arc7-R13,1.0
Paracoccus sp. AK26,1.0
Rheinheimera sp. LHK132,1.0
Shewanella putrefaciens,1.0
Shewanella sp. ANA-3,1.0
Aeromonas media,1.0
Aeromonas veronii,1.0
Aeromonas hydrophila,1.0
Aeromonas caviae,1.0
Arenimonas daejeonensis,1.0
Thermomonas sp. HDW16,1.0
Agrococcus carbonis,1.0
Thermomonas sp. SY21,1.0
Pseudoxanthomonas spadix,1.0
Pseudoxanthomonas suwonensis,1.0
Luteimonas yindakuii,1.0
Luteimonas sp. JM171,1.0
Luteimonas sp. 100111,1.0
Luteimonas sp. Gr-4,1.0
Luteimonas sp. YGD11-2,1.0
Lysobacter gummosus,1.0
Lysobacter alkalisoli,1.0
Lysobacter capsici,1.0
Lysobacter lycopersici,1.0
Lysobacter sp. TY2-98,1.0
Lysobacter maris,1.0
Lysobacter antibioticus,1.0
Lysobacter soli,1.0
Lysobacter enzymogenes,1.0
Lysobacter oculi,1.0
Xanthomonas translucens,1.0
Xanthomonas campestris,1.0
Xanthomonas sacchari,1.0
Stenotrophomonas sp. LM091,1.0
Stenotrophomonas rhizophila,1.0
Stenotrophomonas acidaminiphila,1.0
Stenotrophomonas maltophilia,1.0
Pantoea dispersa,1.0
Escherichia coli,1.0
Enterobacter cloacae,1.0
Klebsiella pneumoniae,1.0
Brachybacterium sp. P6-10-X1,1.0
Brachybacterium sp. SGAir0954,1.0
Pseudomonas saudiphocaensis,1.0
Pseudomonas oryzae,1.0
Pseudomonas psychrotolerans,1.0
Pseudomonas otitidis,1.0
Pseudomonas chlororaphis,1.0
Pseudomonas alcaliphila,1.0
Pseudomonas sihuiensis,1.0
Pseudomonas fluorescens,1.0
Pseudomonas monteilii,1.0
Pseudomonas fulva,1.0
Pseudomonas putida,1.0
Pseudomonas oryzihabitans,1.0
Pseudomonas sp. CC6-YY-74,1.0
Pseudomonas sp. PE08,1.0
Pseudomonas sp. K2W31S-8,1.0
Pseudomonas sp. LPH1,1.0
Pseudomonas sp. THAF7b,1.0
Pseudomonas sp. R2A2,1.0
Pseudomonas sp. phDV1,1.0
Pseudomonas citronellolis,1.0
Brevibacterium luteolum,1.0
Brevibacterium linens,1.0
Brevibacterium sp. YB235,1.0
Brevibacterium sp. CS2,1.0
Brachybacterium avium,1.0
Brachybacterium vulturis,1.0
Brachybacterium ginsengisoli,1.0
Brachybacterium faecium,1.0
Brachybacterium saurashtrense,1.0
Kytococcus sedentarius,1.0
Pseudomonas furukawaii,1.0
Pseudomonas oleovorans,1.0
Pseudomonas mendocina,1.0
Pseudomonas aeruginosa,1.0
Pseudomonas alcaligenes,1.0
Pseudomonas balearica,1.0
Pseudomonas stutzeri,1.0
Moraxella osloensis,1.0
Acinetobacter towneri,1.0
Acinetobacter haemolyticus,1.0
Acinetobacter tandoii,1.0
Acinetobacter schindleri,1.0
Acinetobacter baumannii,1.0
Acinetobacter indicus,1.0
Acinetobacter sp. SWBY1,1.0
Acinetobacter sp. WCHA45,1.0
Acinetobacter sp. WCHA55,1.0
Acinetobacter sp. ACNIH1,1.0
Acinetobacter junii,1.0
Acinetobacter johnsonii,1.0
Chroococcidiopsis thermalis,1.0
Deinococcus ficus,1.0
Deinococcus sp. NW-56,1.0
Aerococcus viridans,1.0
Exiguobacterium mexicanum,1.0
Staphylococcus cohnii,1.0
Staphylococcus saprophyticus,1.0
Staphylococcus arlettae,1.0
Staphylococcus hominis,1.0
Staphylococcus epidermidis,1.0
Epidermidibacterium keratini,1.0
Corynebacterium ureicelerivorans,1.0
Corynebacterium jeikeium,1.0
Corynebacterium segmentosum,1.0
Geodermatophilus obscurus,1.0
Streptomyces venezuelae,1.0
Gordonia sp. JH63,1.0
Gordonia terrae,1.0
Dietzia timorensis,1.0
Dietzia lutea,1.0
Dietzia sp. oral taxon 368,1.0
Corynebacterium mycetoides,1.0
Corynebacterium variabile,1.0
Corynebacterium genitalium,1.0
Corynebacterium imitans,1.0
Corynebacterium resistens,1.0
Corynebacterium xerosis,1.0
Corynebacterium aurimucosum,1.0
Corynebacterium sanguinis,1.0
Corynebacterium minutissimum,1.0
Propioniciclava sp. HDW11,1.0
Tessaracoccus flavus,1.0
Tessaracoccus sp. T2.5-30,1.0
Cutibacterium granulosum,1.0
Cutibacterium acnes,1.0
Corynebacterium frankenforstense,0.975609756097561
Cutibacterium avidum,0.975609756097561
Tessaracoccus flavescens,0.975609756097561
Tessaracoccus aquimaris,0.975609756097561
Corynebacterium glyciniphilum,0.975609756097561
Corynebacterium singulare,0.975609756097561
Corynebacterium sp. 2019,0.975609756097561
Tessaracoccus timonensis,0.975609756097561
Duganella sp. GN2-R2,0.975609756097561
Weissella confusa,0.975609756097561
Massilia putida,0.975609756097561
Lautropia mirabilis,0.975609756097561
Staphylococcus nepalensis,0.975609756097561
Staphylococcus haemolyticus,0.975609756097561
Staphylococcus capitis,0.975609756097561
Conexibacter woesei,0.975609756097561
Iamiaceae bacterium SCSIO 58843,0.975609756097561
Exiguobacterium sp. AT1b,0.975609756097561
Cupriavidus necator,0.975609756097561
Faecalibacterium prausnitzii,0.975609756097561
Aerococcus urinaeequi,0.975609756097561
Bradyrhizobium sp. SK17,0.975609756097561
Microvirga ossetica,0.975609756097561
Methylorubrum extorquens,0.975609756097561
Corynebacterium halotolerans,0.975609756097561
Corynebacterium vitaeruminis,0.975609756097561
Corynebacterium efficiens,0.975609756097561
Corynebacterium maris,0.975609756097561
Corynebacterium doosanense,0.975609756097561
Mycolicibacterium duvalii,0.975609756097561
Mycolicibacterium doricum,0.975609756097561
Mycolicibacterium gilvum,0.975609756097561
Mycolicibacterium aurum,0.975609756097561
Mycolicibacterium phocaicum,0.975609756097561
Corynebacterium timonense,0.975609756097561
Corynebacterium riegelii,0.975609756097561
Sphingomonas sp. MM-1,0.975609756097561
Ornithinimicrobium sp. H23M54,0.975609756097561
Serinicoccus sp. W204,0.975609756097561
Serinicoccus sp. JLT9,0.975609756097561
Sinomonas atrocyanea,0.975609756097561
Nesterenkonia sp. NBAIMH1,0.975609756097561
Methylobacterium sp. 17Sr1-1,0.975609756097561
Methylobacterium sp. 4-46,0.975609756097561
Methylobacterium sp. 17Sr1-43,0.975609756097561
Bradyrhizobium sp. 6(2017),0.975609756097561
Mycolicibacterium vaccae,0.975609756097561
Mycolicibacterium vanbaalenii,0.975609756097561
Mycolicibacterium psychrotolerans,0.975609756097561
Mycolicibacterium parafortuitum,0.975609756097561
Agrobacterium sp. MA01,0.975609756097561
Cupriavidus pauculus,0.975609756097561
Rhizobacter gummiphilus,0.975609756097561
Rubrivivax gelatinosus,0.975609756097561
Baekduia soli,0.975609756097561
Rubrobacter xylanophilus,0.975609756097561
Rubrobacter sp. SCSIO 52909,0.975609756097561
Rubrobacter sp. SCSIO 52915,0.975609756097561
Kineococcus radiotolerans,0.975609756097561
Nakamurella multipartita,0.975609756097561
