feature	Cutibacterium.acnes	Cutibacterium.granulosum	Tessaracoccus.sp..T2.5.30	Tessaracoccus.flavus	Propioniciclava.sp..HDW11	Nocardioides.sp..CF8	Nocardioides.sp..zg.579	Nocardioides.sp..JS614	Nocardioides.sp..R.3366	Nocardioides.sp..HDW12B	Nocardioides.seonyuensis	Micropruina.glycogenica	Micrococcus.luteus	Micrococcus.sp..KBS0714	Kocuria.palustris	Kocuria.flava	Kocuria.sp..KD4	Kocuria.rosea	Kocuria.turfanensis	Rothia.mucilaginosa	Janibacter.indicus	Janibacter.limosus	Janibacter.melonis	Serinicoccus.profundi	Serinicoccus.sp..JLT9	Serinicoccus.chungangensis	Serinicoccus.marinus	Ornithinimicrobium.sp..AMA3305	Ornithinimicrobium.sp..HY006	Ornithinimicrobium.flavum	Phycicoccus.sp..HDW14	Microbacterium.aurum	Brachybacterium.sp..SGAir0954	Brachybacterium.sp..P6.10.X1	Brachybacterium.saurashtrense	Brachybacterium.faecium	Brachybacterium.ginsengisoli	Brachybacterium.vulturis	Brachybacterium.avium	Brevibacterium.sp..CS2	Brevibacterium.linens	Brevibacterium.luteolum	Kytococcus.sedentarius	Corynebacterium.segmentosum	Corynebacterium.jeikeium	Corynebacterium.ureicelerivorans	Corynebacterium.minutissimum	Corynebacterium.sanguinis	Corynebacterium.aurimucosum	Corynebacterium.singulare	Corynebacterium.xerosis	Dietzia.sp..oral.taxon.368	Dietzia.lutea	Dietzia.timorensis	Gordonia.terrae	Gordonia.sp..JH63	Geodermatophilus.obscurus	Staphylococcus.epidermidis	Staphylococcus.hominis	Staphylococcus.capitis	Staphylococcus.arlettae	Staphylococcus.saprophyticus	Staphylococcus.haemolyticus	Exiguobacterium.mexicanum	Deinococcus.sp..NW.56	Chroococcidiopsis.thermalis	Acinetobacter.johnsonii	Acinetobacter.junii	Acinetobacter.sp..ACNIH1	Acinetobacter.indicus	Acinetobacter.baumannii	Acinetobacter.schindleri	Acinetobacter.towneri	Moraxella.osloensis	Pseudomonas.stutzeri	Pseudomonas.alcaligenes	Pseudomonas.aeruginosa	Pseudomonas.mendocina	Pseudomonas.oryzihabitans	Pseudomonas.putida	Escherichia.coli	Stenotrophomonas.maltophilia	Stenotrophomonas.acidaminiphila	Lysobacter.oculi	Luteimonas.sp..YGD11.2	Pseudoxanthomonas.suwonensis	Thermomonas.sp..SY21	Aeromonas.caviae	Rheinheimera.sp..LHK132	Paracoccus.sp..AK26	Paracoccus.sp..Arc7.R13	Paracoccus.sp..2251	Paracoccus.sanguinis	Paracoccus.yeei	Paracoccus.contaminans	Paracoccus.zhejiangensis	Paracoccus.aminovorans	Paracoccus.pantotrophus	Paracoccus.denitrificans	Paracoccus.jeotgali	Rhodobacter.sphaeroides	Sphingobium.yanoikuyae	Comamonas.aquatica	Massilia.oculi	Chryseobacterium.taklimakanense	Cloacibacterium.normanense	Malassezia.restricta	Aspergillus.fumigatus	Aspergillus.oryzae	Thalassiosira.pseudonana
368257238	0.17436497940651	0.0121525029265266	-0.00533887567748793	-0.00578700880315667	-0.00543844346286592	-0.00572815158396224	-0.00574626112859805	-0.00575984350229924	-0.00578248120176663	-0.00578248120176663	-0.00561044753707045	-0.00589114929329975	0.0267563939565178	-0.00489999043893099	0.0104388971482896	-0.0049814185063262	-0.00572815158396224	-0.00525741849902899	-0.00570098788191011	-0.00522121743833389	-0.000963172998552825	-0.00408155432960714	-0.00464670106804128	-0.00504475603202171	-0.00578248120176663	-0.00566929782873585	-0.005687406307579	-0.00548823107345543	-0.00575531602390101	-0.00514881924825721	-0.00569646066997099	-0.00448390605825322	-0.00417647666286938	-0.00464670106804128	-0.0035167268016166	-0.00444321144644015	-0.00458791092396594	-0.0049814185063262	-0.00521216737792488	0.00103991106924202	-0.00553802116297487	-0.00566929782873585	0.00214551425238272	0.0135878896718982	-0.00350317486041378	-0.00369291875190745	-0.00430305379145542	-0.00442512548385971	-0.00447938435293721	-0.00475072286748611	-0.00554707417287431	-0.00312379505151498	-0.00450651489152522	-0.00559234045176767	-0.00520311739941839	-0.00561950120267351	-0.00567835202716785	0.030173390808177	0.00168724175194403	0.000707091953357806	-0.000972184686712447	-0.00496784670129847	-0.00546560003407884	-0.00573720631528558	-0.0056511896778041	-0.00544749557132814	0.00934243024667352	0.00515052635844779	-0.00387817966532174	0.000347162855503583	-0.00228876339591947	-0.00298833713582475	-0.0052755195208322	0.000940976415499984	0.0211748941760904	-0.00193239465425707	-0.0034489689320787	-0.00353027892647713	-0.00509904853288325	-0.00517144311960967	-0.00387366069808644	-0.00455173409160536	-0.00508095070507461	-0.00579606406743464	-0.00568287915712598	-0.00489999043893099	-0.00574173371169317	-0.00450199308397802	-0.00430757469952497	0.000599126825988829	-0.00108483764138079	-0.0053298245522067	-0.00211281865113816	-0.00343993489634924	-0.00466931358225974	-0.0051171466882294	-0.00559234045176767	-0.00564666269130577	-0.00565571668479603	-0.00574626112859805	-0.00556065384139489	-0.00371550970874827	-0.00516691830439185	-0.00516691830439185	-0.00569646066997099	-0.00504475603202171	0.128574290138242	-0.00345800304942293	-0.0044612977361289	7.26298411844158e-05
368257968	0.0552999856392194	-0.00244955012597394	-0.00320588023034417	-0.0042691359927516	-0.00270649134185959	-0.00445929723289569	-0.00451008305595658	-0.00448066198899955	-0.00463968615540356	-0.00460185432558912	-0.00449712366979709	-0.00435878393204711	0.0747281403895348	-0.00204032840858765	0.0293308024491103	-0.00350815262835364	-0.00452269234963667	-0.00464318917500647	-0.00460780924092491	-0.00403209793793076	0.0315316573987336	-0.00163686208600205	-0.0010841504768766	-0.00435633251433095	-0.00450132669555546	-0.00461761741407569	-0.00452304261006405	-0.00453495153759183	-0.00471640509316061	-0.00394948044776115	-0.00413047766590435	-0.00364672468552021	-0.000692235096266168	-0.0013753072721032	0.00293310695399714	3.60472639156781e-05	-0.000475927301992678	-0.00264880491372949	-0.0030302963259702	0.00318895095729321	-0.00413187815894793	-0.00350290406422978	0.00377026602088029	0.00558049639636198	0.0106784191608951	0.00531624603529448	0.00466503211592436	-0.00182407816254177	-0.0026425120501513	-0.00268935987339677	-0.00310339424556269	-0.00358478480183186	-0.00410947050561297	-0.00336750063264782	-0.00323071629917345	-0.00380071616239642	-0.00458083726078245	-0.0024397631944635	0.00397137168591266	-0.00334720919157717	0.00852794122633435	0.00787466480061014	-0.00363622613012133	-0.00421416056797814	-0.0048891318232617	-0.00420260560830066	-0.00289740470553563	0.00187148957149516	-0.00416163909981592	0.0057112086204119	-0.00317544814190814	-0.00226116851740338	-0.00377481593706288	0.00674936511974672	0.0311501441924484	-0.000930576728192071	-0.00349940503678445	-0.00229716448655759	-0.00321147703708588	-0.00458504063840655	-0.00439100312341137	-0.00303484293067948	-0.00432026234839911	-0.0038672198134712	-0.00385706897018969	-0.00305792601193623	-0.00370236886932631	-0.00452444365300041	-0.00312333096920045	0.00248800489483238	-0.00175282015122507	-0.00418614877501156	-0.000517440814908654	-0.00147447354224422	-0.00387597062313993	-0.0040730591398012	-0.00460010288665067	-0.00473707467190308	-0.00472516333707671	-0.00471745607838043	-0.00462742568342777	-0.00420540679838605	-0.00313697211439241	-0.00456647585387572	-0.0042736882334783	-0.00230939642151881	0.0165066799416918	-0.00289145996677803	-0.00229227175446647	-0.00352459830766293
368258054	0.00125585097066361	-0.00266637586190824	0.00404397843168543	-0.000103544808479751	0.00219382924081978	-0.000479493411783157	-0.000690802760501015	-0.000644239237997903	-0.000819759216383201	-0.000565444369652106	-2.83720453263103e-05	-0.000638866663379548	0.0175104904938092	-0.00263766446527614	0.00379618207979804	0.00229918516089327	-0.00185200997291175	-0.00107234712413956	-0.00185918210773349	-0.00265381452444861	0.00388710729743474	-0.000800056459339999	0.00182052995852447	-0.00107772202817514	-0.0016691379129221	-0.000669311634544296	-0.00159384737206746	-0.000705130434403466	-0.00137159408126608	0.00123976367024624	-0.00015724309927602	-0.000264648332162247	-0.00121927156582227	-0.00161894358917251	-0.000484865130222642	-0.000859165895103756	-0.00124615032381011	-0.00189504355345571	-0.0020725766508434	-0.00172112754727641	-0.00121568778600974	-0.0023918568739668	0.00167224325036922	-0.00193807898596853	-0.00151139280717462	-0.0021210002388794	-0.00209409795603964	-0.00258203848003139	-0.00255871237479919	-0.0026233090760835	-0.00182152897377805	-0.00116193262998134	-0.00153648695504158	-0.00203670883807677	2.053418999995e-06	-0.000830506338393471	0.00145602684013106	-0.00266458137546779	-0.00230933648600219	-0.00278481908736354	0.00018279738671481	-0.00251206179659288	-0.002393650871073	-0.000789309664571332	0.000250791610810406	0.000841073442798153	-0.0014432832942209	0.00120401318716398	-0.00217839419459411	0.000948359987380421	-0.00221606076829465	-0.00145403711944636	0.000331305108047163	0.00641365833426223	0.0342629134943031	0.000474424210219286	0.000320570349614915	-0.000669311634544296	-0.00146299872880792	-0.00183049387707825	-0.000567235093167007	-0.000699757532633423	-0.00175339833504508	-0.00119956093578931	-0.00229319198916752	0.000125535506648453	0.000612157003452446	-0.00260715950956445	-0.00227166639882738	0.0105714840152961	0.00287398297106632	-0.000377436243565983	0.00255449329509386	0.000463690988034114	-0.000176933195069032	-4.26902312124669e-05	-0.00102039120782714	-0.00133575140195023	-0.00134112772194892	-0.00150780798031283	-0.000886034975511298	-0.000733786398069571	-0.0017408484604987	-0.0012569020292996	-0.00195242454171567	0.00771095197109274	0.00104848371178054	-0.00114401488675654	-0.00118522617614708	0.00099484724898517
368259600	0.0690146195561878	-0.00342311329025972	-0.00424874268272308	-0.00476670801622967	-0.00442990156842197	-0.00468397311554806	-0.00467018463090242	-0.00467609395818448	-0.0047233698336095	-0.00476769299675417	-0.00474109886312291	-0.00475685826434485	0.0461108876529638	-0.00302972767090496	0.00875875812532253	-0.00425071162463346	-0.00502579132576889	-0.00470367128056611	-0.00490067427466366	-0.00438756258578187	0.00261793307629649	-0.00382255800838875	-0.00274855180338005	-0.00384322328261041	-0.00472927947518995	-0.00479625785400327	-0.00475390335769764	-0.00479428783765207	-0.00493909438079679	-0.00434817909494236	-0.00458844251933989	-0.00362773498677583	-0.00324410364588301	-0.00381862181409818	-0.00242912970894074	-0.00352246763465934	-0.00372907757943244	-0.0043393180232548	-0.00452837125116325	-0.00195755439306349	-0.00421920901926692	-0.0037871328175318	0.00130691170084927	0.00175324327388431	0.000634101576854066	-0.000399009020611363	-0.00222671806191587	-0.000828642347932518	-0.00413651940159026	-0.00422708457757013	-0.00452147805774836	-0.00367496132491336	-0.00423397574196518	-0.00357952706699234	-0.000428430073141899	-0.00126827569295906	-0.00472041502591568	-0.00299531379089894	-0.000770758606919729	-0.00247924765810517	0.00898223505808921	-0.00341524406110966	-0.00168453535074487	-0.00492431724221193	-0.00504549622519569	-0.00461306293409655	-0.00284390678695428	0.00561215335818939	-0.00176702245481651	0.0104219775317671	-0.00304742669893404	-5.83070820351264e-06	-0.00306217612825411	0.00435092910133234	0.143449623247583	-0.000886529439666845	-0.00209016247498376	0.00166418862803552	-0.00382255800838875	-0.00409517715670047	-0.00354804559826115	-0.00312904293648038	-0.00453526449209425	-0.00408533401697507	-0.00263846251299081	-0.00337884968177483	-0.00449784461248343	-0.00398100269208921	-0.00347918334045692	0.00165831661444356	0.00226197488002323	-0.00412470715721442	0.0048759008888377	-0.00161285565487165	-0.00362183185132556	-0.00382452611134399	-0.00437968576352831	-0.00448307399282117	-0.00456283793099621	-0.00447224234372709	-0.00461010845232017	-0.00287241674356693	-0.00306905926971991	-0.0049036296150377	-0.00400659238692359	-0.00399478167716865	0.014648631258144	-1.75943991793776e-05	0.000614507891114413	-0.000361743596644329
368259989	0.0667463498698889	-0.0006068778242487	-0.00258008998252528	-0.00334233678411795	-0.0016860376553984	-0.00370206494536923	-0.00379614948590769	-0.00378216338597157	-0.00381606942048627	-0.00376351555700211	-0.00362493917693368	-0.00376224412678081	0.044849318715406	-0.00291540699572324	0.0277530269401001	-0.00201005513656506	-0.00228043204743183	-0.00348977154662103	-0.0034639265256524	-0.00355375143916092	0.00995645566774627	0.000654258349051266	-0.000624199434373158	-0.0033495385520249	-0.00383683743435479	-0.00364655074293607	-0.00375800603771836	-0.00356095472979358	-0.00376478698883984	-0.0028336842808491	-0.00345375817591192	0.00146743214606299	0.000289211746693745	-0.00138411064839826	0.00275711530338691	-0.000439591861178568	-0.000683348657317522	-0.0024564913663339	-0.00275535530461322	-0.00110467682768982	-0.0012953259335165	-0.00352663363390488	0.00321848603726183	0.000367296500769498	-0.00231724958206192	0.00365230024072929	-0.00190767795524951	-0.000175624223345173	-0.0036156166848111	-0.00373130648963831	-0.00304583842751174	-0.00324702415332184	-0.00368808016123779	-0.0016035695498915	-0.00345841865670832	-0.00380589748942124	-0.00344189523189334	-0.00147755450488135	0.000925108541863049	-0.00322372689191383	0.00895224866319593	-0.0022918580338065	-0.00390762145643853	-0.00365799234932094	-0.00387074532273166	-0.00192502211218313	-0.00212682868359679	0.00547008404175352	-0.00308649585817102	0.00211901218744067	-0.00210778858790497	-0.00144922444958747	-0.0037105406672994	0.00207940689212334	0.0375655327036606	0.00038417888918896	0.000849176635872595	0.000773238963789739	-0.00202020881674549	-0.00305981423285189	-0.00391355567394207	-0.00241162715463494	-0.00388685197248946	-0.00383175135026237	-0.00366477262228609	-0.00337368603468291	-0.0036935892952762	-0.00254495594511068	-0.00246876588813025	0.00670806685048196	0.00147839366522825	-0.0027570488392063	0.00449876885009439	-0.000500419882639329	-0.00248823612829217	-0.00292091187463402	-0.00353002331934639	-0.00362366792289036	-0.00369909845966511	-0.00376563461096322	-0.00346646862924309	-0.00121246731099357	-0.0031627329963674	-0.00419674355742814	-0.00305134402448034	-0.00223472940741927	0.0109329274567991	-0.00257924336470001	-0.00199947849600632	-0.00286628787931553
368273379	0.0451021621706554	-0.00357679143054759	-0.00433291493660344	-0.00491272283494414	-0.00441102548362241	-0.00489284205790688	-0.00500321964190838	-0.00494768653953743	-0.00498676506784491	-0.00495522789099566	-0.00487776035276897	-0.00507109762200915	0.0594153548968247	-0.00270699794651831	0.0151851719759286	-0.00427193813620179	-0.00507384026350202	-0.0050251594951728	-0.00501281826848208	-0.0048647354268308	0.0101803756606961	-0.00280892515758054	-0.00255720432286378	-0.004587139189116	-0.00490106853839905	-0.00493054731590947	-0.00474751872694993	-0.00487501824899955	-0.004955913471221	-0.00431647138833208	-0.00475094592084244	-0.00446447305773208	-0.00381507301066019	-0.00408629009899921	-0.00265227621335794	-0.00357062972901432	-0.00373700899813042	-0.00450490324867429	-0.00463031576521345	-0.00144368963385766	-0.00425481049036537	-0.00295807228260161	-0.000685650800996716	0.00129414745347827	-0.000730707316210705	0.00106656438467646	-0.0013063805300143	-0.00330913472912942	-0.00433497039914936	-0.00422124115547018	-0.00453162918753578	-0.00412464996800513	-0.0045658942566314	-0.00432126739531362	-0.00327422826646819	-0.00380274670879728	-0.00493191844298952	-0.00338921886542891	-0.00181198972811438	-0.00396916460506322	0.00179137931271689	-0.00363704117946821	-0.00476396936475538	-0.00491135173418343	-0.00511772355042213	-0.00502653075198451	0.0455617915609956	0.0115920675633247	-0.00334951823555262	0.01607035779849	-0.00131799300796354	-0.001286571320029	-0.000250891479839969	0.00568506744630813	0.0515599431694604	0.00123078371802201	-0.00115679654737951	0.00198339447841962	-0.00102362415894088	-0.00313666760011533	-0.00350627644865205	-0.00216128265274219	-0.0040321777857976	-0.00423562787529487	-0.00391094943424173	0.00196841589778982	-0.00440485863965916	-0.00111240378066136	0.00172804707689437	0.00479267346744359	-0.00199721598661915	-0.00412807502786643	0.00111631001754811	-0.00196098822610255	-0.00361992440437768	-0.00420753970996741	-0.00462620363002839	-0.00465841580822212	-0.00475780034386452	-0.00475642945550134	-0.0046597865622258	-0.00321468475982397	0.00702792503305516	-0.00512046631979647	-0.00500116280534354	-0.00396026088882332	0.0357721246889794	0.00379414875556277	0.00743090492236226	-0.000555271413861438
368281318	0.0348547255336876	-0.00287722509805233	-0.0036720725344734	-0.00430629413509761	-0.00316479296605031	-0.00437924101636304	-0.00436676288309139	-0.00442339566129481	-0.00440899719329148	-0.0044099570847086	-0.00433988743256628	-0.00422375539702979	0.0767217085779143	-0.00118129907864244	0.0186165817391873	-0.00192596489403429	-0.00414122347104287	-0.00422471511065116	-0.00420456131801866	-0.00428038007667154	0.0106944801193657	-0.00130090594536753	0.000320701560351907	-0.00372386980380989	-0.00428613869828787	-0.0040299121273423	-0.0040183978678915	-0.00411243486672197	-0.00420648070934124	-0.00343518218434562	-0.00383514708484499	-0.00214908972468354	-0.00203321181773026	-0.0026548959695291	-0.000226870573021749	-0.00193649756470309	-0.00229371652792188	-0.00342846951028964	-0.00367111335108396	0.00273294409161265	-0.00370276688872917	-0.00369125639547555	0.00316077645074489	-0.00139468773435256	-0.000605472675344063	0.000282486362927487	-0.00324340924291977	-0.00248818155572396	-0.00422279568432934	-0.00394547730330041	-0.00300278622947517	-0.00394547730330041	-0.00433892760840592	-0.00392149143769028	-0.00378430334252371	-0.00420360162373883	-0.00368070522638188	-0.00132674290743977	0.000372289760422268	-0.00333066137142373	0.0249256034416508	0.00324841661552648	-0.00331915516046696	-0.00457315201950006	-0.00394835564583564	-0.00333545566506363	-0.0021644134283464	0.00697648078771286	-0.00224390890983648	0.00834782893521876	-0.00278905418442945	0.000751476881390945	-0.00385625279374815	0.00478658412023652	0.0562530596697423	-0.000730748868871125	-0.0027631794135276	-0.000365483497608286	-0.00343326427287454	-0.00378718122118179	-0.00384282183654277	-0.00265872881161998	-0.00416233564096207	-0.00403183118347391	-0.00133631232205951	-0.00353204149722857	-0.00415561808400324	-0.00421319860798271	-0.0022304995903592	0.00986587699647742	0.00425001716540464	-0.00306509340675486	0.00479989949683344	-0.000221135279747525	-0.00270568231951074	-0.00346299231404343	-0.00404622422184922	-0.00408268751291475	-0.00417481122360782	-0.00415561808400324	-0.00415465843669268	-0.00298265704805623	-0.00364137912233243	-0.00451651075978336	-0.00386488707578136	-0.00358479061333348	0.00714918826248502	0.0027358032672076	0.00733894230386654	-0.00235214785747626
368281322	0.00246579690745987	-0.00298703922395044	0.00400838130652745	-0.000827595647456738	0.00292782874619472	-0.000737858427887737	-0.00104532496423959	-0.00118496260478993	-0.00131464358974921	-0.000584991338877257	-0.000156423463280004	-0.000310886062461927	0.0342101988974967	-0.00276222637969564	0.0152114692729198	0.0036527387020886	-0.0013379214441971	-0.00163226677325741	-0.00117000049632934	-0.00321356846384756	0.00617094080810796	-0.000583329868459287	0.00285663345167671	-0.000870805329091346	-0.00202652589976559	-0.00146429639551973	-0.00179527490572816	-0.00113010263484935	-0.00170212414781287	0.000832899893732626	-0.000164727297243186	-9.99592209072081e-05	-0.0013362587223379	-0.00173871805360107	-0.000244447611848402	-0.0011833001372393	-0.00148258883001861	-0.00222787426890009	-0.00238765058240141	-0.00161064524153758	-0.00264900645486598	-0.00256576468742872	0.00799613943618725	-0.00274890572318683	-0.00161896115995177	-0.00143768981537819	-0.00274557558678448	-0.00305865689222632	-0.00283382794863313	-0.00316192860686173	-0.00244757328213676	-0.00150919660481221	-0.00197494730354043	-0.0023626838505703	-0.000478662796873513	-0.00130633020161945	0.00450441552321704	-0.0032585472863263	-0.00246255451813904	-0.00339516203959918	-0.000900720817837844	-0.00329686417533282	-0.00291209599341243	-0.00198825765433498	9.43198424816625e-05	-0.00115337619392623	-0.00283882359825493	-0.00221788909688025	-0.00323689056370379	-0.00200156818229733	-0.00319857597258667	-0.00265067136089456	-0.00312195119409466	-0.00124980099512473	0.0299890837084261	-0.000179674372142411	-0.00051521195799138	-0.0013794903892082	-0.00246754831334839	-0.00217129294571391	-0.00179361142324429	-0.00117332538997416	-0.00227780162460776	-0.00139279281656889	-0.00226781595404506	-0.000796020522337676	0.000482764772847728	-0.00308697226889356	-0.0029720501285171	0.0175881970918463	0.0033466193743852	0.000418034428650742	0.0100120186592974	0.00461681574747461	0.00240947735694116	0.000308481223030865	-0.000769431716555804	-0.00085086216710226	-0.00110849195784417	-0.00133459600324356	-0.000701301128471074	-0.00160898206615309	-0.00202153430644056	-0.00235602616068877	-0.00250916424326662	-0.000550101039789125	-0.00145431884500831	-0.00149256666260063	-0.00162894035333364	0.000854468190991068
368281337	0.0749392809672422	0.00175647752440926	-0.0031280360498317	-0.00414686296472523	-0.00326850220259722	-0.00348704433234059	-0.00367635602875803	-0.00368806720766413	-0.0038442293667671	-0.00375052914494142	-0.00354949371420958	-0.00401017838565713	0.0707518079584307	-0.00140503018752429	0.0100770191896519	-0.00292712571075866	-0.00418006061082001	-0.00406289736713876	-0.00407266044649202	-0.00288811867388408	0.0400696055573045	-0.00162511325516315	-0.000669174927022406	-0.00357681654516888	-0.00420740067632075	-0.00418006061082001	-0.00402775107067596	-0.00413319366606748	-0.00432067462558184	-0.00325679593623279	-0.00353778415804053	-0.00289396963241745	-0.00260926268364474	-0.00314364242581684	-0.00183160689647709	-0.0029446793737696	-0.00305000782308107	-0.00377785746938492	-0.00402775107067596	-0.000700311267220629	-0.00320021758056026	-0.00380713864578766	0.00185935988046704	0.00206703351918002	-0.000599121706005022	0.00073873096808206	-0.0031280360498317	-0.00105844887763818	-0.00402189347469207	-0.00388327371724995	-0.00402579853486884	-0.00371929768861612	-0.00414295743175667	-0.000422064608520126	-0.00175173165766115	-0.00259171490738626	-0.00367245233293422	-0.00120446568540569	-0.00135050381719506	-0.0025624692978812	0.0101193724932158	-0.00118110156335042	-0.0040472766384312	-0.00415272129277802	-0.0040902342295325	-0.00301294654811056	-0.00232853520774421	0.00675826461892553	-0.00200696516360738	0.00303883864109494	-0.00281400949542862	-0.00131739997140132	-0.00202839994973286	0.00307179750359064	0.0263901398625029	-0.000540747770339993	-0.00280425869659417	0.00114090348219474	-0.00281986002036672	-0.00369392284854946	-0.00402189347469207	-0.00256636866306467	-0.00386570357088022	-0.00380518654068626	-0.00281010916448542	-0.00333874267870045	-0.00377200133698951	-0.0015939481071456	-0.0032548449051617	0.00408330003914153	-0.000525181962970298	-0.00356315503637193	0.00137785696078979	-0.00110906562322595	-0.00295443154192054	-0.00333093793771037	-0.00405508697228409	-0.0040804709786041	-0.00424450624655451	-0.00422692975218589	-0.00398479616355938	-0.00311047916797251	-0.00148293016010397	-0.00450037686726477	-0.00371539382515764	-0.00318070854494976	0.0207584837014969	-0.00157836589735417	-0.00106428914060584	-0.00268335668947359
368281369	0.0348670848432938	-0.00235009163914601	-0.00336476528957393	-0.00397367926246115	-0.0031448319454085	-0.00364744297601449	-0.00375438135345365	-0.00373053079642638	-0.00383863222952963	-0.00376976911149215	-0.00370552679097571	-0.00372822270819284	0.0507001487312085	-0.00227095963270515	0.0139212163866607	-0.00297799171069153	-0.00382555171937418	-0.00396829242189698	-0.0038867238112999	-0.00309062503762812	0.00630606028132307	-0.00146846933567167	-0.000404722903380594	-0.00328670648510683	-0.00366898359990109	-0.00362167176779915	-0.00328209236227656	-0.00378746532596455	-0.0039386653174806	-0.00334246215225234	-0.00357474679582063	-0.00143277539851343	-0.000438463074162757	-0.00221295908072311	-0.000175856570861539	-0.00178746850249149	-0.0019821425364125	-0.00294800955007492	-0.00321595894115147	0.00120619506082214	-0.00280772035808933	-0.00341821793640591	0.00422298114691708	7.48012155021511e-05	-0.00185350751698292	0.000968072932140971	-0.00329208965531731	0.00261462606384084	-0.00375322728114588	-0.00391711888376076	-0.00368667803092556	-0.00336630345531143	-0.00378785002975695	-0.00371822105407313	-0.0035466697917504	-0.00381862681267771	-0.0035470544029192	-0.00231820760177129	0.000792316215742927	-0.0037566895020644	0.00378133265719409	0.00125901833063324	-0.0033628425857293	-0.00412721641827347	-0.00393674150988066	-0.00326363608385386	-0.00177978983034879	0.0224712314124617	0.000449903975641265	0.00307016271452022	-0.00211463470468694	-0.00109930973749349	-0.000182756297517559	0.00872033652578518	0.0554959723793567	0.000742149046085645	-0.00169878343137483	0.00937169038681659	-0.00344359933030743	-0.00313675838993554	-0.00367860009966077	-0.00230898831055802	-0.00356782362570084	-0.0036651370258906	-0.00294916269347671	-0.00226635019426534	-0.00365475134996858	-0.00308255191978423	-0.000978844311116775	0.004759033748611	0.00683224302431351	-0.00253373275114417	0.0106954981146919	0.0011330799893427	-0.00161509650794534	-0.00250414811747766	-0.00323172290615022	-0.00334707655364528	-0.00350128671240083	-0.00328209236227656	-0.00341591056890473	-0.00312560930144065	0.00104694281104754	-0.00383901695300686	-0.00358705477215877	-0.000589540980801771	0.00587104613078934	-0.00285153459495603	-0.00251298499430248	-0.00295223774904858
