Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore
Cutibacterium acnes,0.848159509202454,0.7743467933491687,0.4307692307692308,0.7444444444444445,0.777027027027027,0.9099099099099099,0.75,0.7567567567567568,0.7272727272727273,0.6666666666666666,0.6346153846153846,,0.9069767441860465,0.8378378378378378,1.0,,0.6470588235294118,1.0,0.875,0.125,,1.0,0.9375,0.9333333333333333,1.0,0.7142857142857143,0.6428571428571429,0.21428571428571427,,0.8461538461538461,1.0
Bradyrhizobium sp. BTAi1,0.7607361963190185,,0.441025641025641,0.7722222222222223,0.3783783783783784,,,0.7972972972972973,0.16666666666666666,0.9666666666666667,0.5961538461538461,,0.8604651162790697,0.3783783783783784,,,,0.6875,0.6875,,,0.5625,0.875,0.8,0.5,1.0,0.9285714285714286,0.35714285714285715,,0.9230769230769231,1.0
Micrococcus luteus,0.5782208588957055,0.5771971496437055,0.47692307692307695,0.5,0.4864864864864865,0.5225225225225225,0.0625,0.5540540540540541,0.696969696969697,0.2,0.38461538461538464,0.11764705882352941,0.2558139534883721,0.7027027027027027,0.7222222222222222,,,0.4375,0.5625,0.0625,,0.8125,0.875,0.8,0.35714285714285715,0.14285714285714285,0.8571428571428571,0.7142857142857143,,0.3076923076923077,0.8333333333333334
Plasmodium relictum,0.5015337423312883,0.3824228028503563,0.39487179487179486,0.3,0.04054054054054054,0.6756756756756757,,0.581081081081081,0.5606060606060606,1.0,0.17307692307692307,0.0196078431372549,0.8604651162790697,0.6756756756756757,0.3888888888888889,,0.5882352941176471,0.125,0.0625,,,,0.1875,0.26666666666666666,,0.8571428571428571,0.21428571428571427,,,0.46153846153846156,0.9166666666666666
Cupriavidus metallidurans,0.46319018404907975,,0.14871794871794872,0.2,0.0472972972972973,,,0.22972972972972974,0.12121212121212122,0.7166666666666667,0.19230769230769232,,0.16279069767441862,0.21621621621621623,,,,0.4375,0.125,,,,0.375,0.13333333333333333,0.07142857142857142,0.9285714285714286,0.7142857142857143,0.07142857142857142,,0.46153846153846156,0.8333333333333334
Moraxella osloensis,0.2898773006134969,0.16864608076009502,0.041025641025641026,0.20555555555555555,0.24324324324324326,0.45045045045045046,0.6458333333333334,0.35135135135135137,0.7727272727272727,0.05,0.19230769230769232,0.27450980392156865,0.023255813953488372,0.10810810810810811,0.5277777777777778,,0.058823529411764705,0.0625,0.0625,,,0.75,0.375,0.06666666666666667,0.5,,,0.2857142857142857,,,0.08333333333333333
Bradyrhizobium sp. SK17,0.2668711656441718,,0.06153846153846154,0.25,0.0472972972972973,,,0.22972972972972974,0.06060606060606061,0.36666666666666664,0.1346153846153846,,0.2558139534883721,0.10810810810810811,,,,,,,,,0.1875,0.13333333333333333,,0.6428571428571429,0.42857142857142855,0.07142857142857142,,0.46153846153846156,0.6666666666666666
Malassezia restricta,0.25153374233128833,0.30641330166270786,0.16923076923076924,0.31666666666666665,0.5202702702702703,0.5855855855855856,0.21875,0.24324324324324326,0.2727272727272727,0.08333333333333333,0.17307692307692307,,0.18604651162790697,0.35135135135135137,0.4444444444444444,,0.11764705882352941,0.4375,0.4375,,,0.5625,0.625,0.4666666666666667,0.5,0.14285714285714285,0.14285714285714285,,,0.15384615384615385,0.8333333333333334
Bradyrhizobium sp. 6(2017),0.20398773006134968,,0.046153846153846156,0.2111111111111111,0.02702702702702703,,,0.21621621621621623,0.030303030303030304,0.21666666666666667,0.09615384615384616,,0.18604651162790697,0.05405405405405406,,,,,,,,,0.0625,0.06666666666666667,,0.6428571428571429,0.14285714285714285,0.07142857142857142,,0.15384615384615385,0.5833333333333334
Janibacter indicus,0.1901840490797546,0.13064133016627077,0.046153846153846156,0.022222222222222223,0.02702702702702703,0.018018018018018018,,0.08108108108108109,0.07575757575757576,,0.019230769230769232,,,,0.027777777777777776,,,,0.0625,,,0.0625,,0.13333333333333333,,,0.2857142857142857,0.14285714285714285,,,
