Samples,Actinomycetes,Bacilli,Malasseziomycetes,Gammaproteobacteria,Alphaproteobacteria,Tissierellia,Flavobacteriia,Betaproteobacteria,Saccharomycetes,CFGB2428,Deinococci,Sphingobacteriia,Negativicutes,CFGB87826,Eurotiomycetes,Cyanophyceae,Bacteroidia,Chitinophagia,Clostridia,CFGB73567,CFGB8214,CFGB1672,Halobacteria,Bdellovibrionia,CFGB4355,Fusobacteriia,Erysipelotrichia,Coriobacteriia,Methanobacteria,CFGB38303,CFGB95179,CFGB50354,CFGB8227,CFGB11479,CFGB8921,Cytophagia,CFGB77720,CFGB42285,Myxococcia,CFGB42846,CFGB93492,CFGB1851,CFGB24767,CFGB1354,CFGB3054,Terriglobia,CFGB4690,CFGB26033,CFGB84486,Candidatus Nanoperiomorbia,Spirochaetia,CFGB74764,Epsilonproteobacteria,Holophagae,CFGB1448,CFGB658,CFGB511,CFGB2833,CFGB10325,CFGB4774,CFGB544,CFGB18266,CFGB74620,CFGB3176,CFGB77603,CFGB1479,CFGB31455,CFGB94566,CFGB1337,Fibrobacteria,CFGB653,CFGB94634,CFGB1765,CFGB84085,Candidatus Saccharibacteria unclassified,CFGB29167,CFGB14294,CFGB57268,CFGB73111,CFGB27697,Bacillota unclassified,Rubrobacteria,CFGB84733
368259737,0.3273384531219336,0.04632400921017863,0.001983304094707568,0.11197428534339425,0.03954646534584824,3.7779247907127e-05,0.000935541882680451,0.00148552259587492,0.0,0.0,0.00126044341468175,0.0,0.0,0.0,0.0,2.2295077286037e-05,0.000182298173703971,2.9478455409223002e-05,0.000420360645727196,0.0,0.000149467475170594,0.0,0.000412379114479211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368259760,0.3542047876144679,0.027859876142394123,0.0023021498355152658,0.11138755417406315,0.055962508889344786,1.6814571169631e-05,0.008058217498025478,0.009771254669801856,4.9117833344981e-05,0.0,0.00205595799598858,7.4309556459339e-05,0.0036899847634517453,0.0,0.0,8.515766689135999e-05,0.004573322289019096,0.000102695445423126,0.007685042499163975,0.0,0.0,0.0,0.0,0.0,0.0,0.000125536744610547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000115472108820839,0.0,0.0,0.0,0.0,0.0,0.000190685674482847,0.0,0.000193819573052098,0.0,0.0,0.004005122371501938,0.003327838676862797,0.001445269645946009,0.001108797420712842,0.000832291139256677,0.000578806958828467,0.000441216758182341,0.00034599445550127295,0.000340208796604195,0.000304410032178528,0.000290307488616901,0.00025444845691105603,0.000250591350979671,0.000238598162224271,0.000129032246860865,0.000125114873649302,0.00010751682783735699,2.6517603278271997e-05,1.627216564803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368259764,0.33838015548782663,0.03263150245615452,0.003439457876292279,0.11990318467730106,0.0316791069374606,0.0,0.005702417171275553,0.001925473115227148,0.0,0.0,0.000352728587807568,0.0,0.0,0.0,0.0,0.0,0.013861015241457886,0.0,0.017949947025131745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000807280994456937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368259770,0.2643243910143383,0.028357158542927655,0.007282836360920747,0.18546869534841398,0.05374538729000768,0.000151769752778897,0.0030589024175059947,0.00776020808423482,0.0,0.00043691460869560396,0.000428356372910928,2.6786166546843e-05,0.000608635053985532,0.0,0.0,0.000501601533717441,0.001743268170970796,3.0898565560257997e-05,0.0,0.0,3.7345028878586e-05,8.630480632209e-05,2.7730906860736e-05,0.0,0.0,0.0,0.0,0.000105922061075276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4304179775023e-05,0.0,0.0,0.001103234394788238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000264249423091782,0.0,0.0,0.0,0.0,9.475189618748399e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368259776,0.31848185236792326,0.0367338210327346,0.006304218009819514,0.20969910934508817,0.03259384044530941,1.0276947542423e-05,0.004941707824362761,0.006739672329772555,4.7374221597998995e-05,0.0,0.001061345491012326,0.000487152379236572,0.00043445169092451197,0.0,0.0,1.6104728770748e-05,0.000536845180463045,6.9432060225639e-05,0.005054127604186586,0.0,0.002963019436560598,0.0,0.0,0.0,0.0,0.0,0.0,1.0527604799555e-05,0.0,0.0,0.0,0.0,0.000165747111278715,0.0,0.0,0.00013027910939449798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016217524536458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368260393,0.3358484209547084,0.029977943987718178,0.008457161384708782,0.08977505740006012,0.03519817737038187,0.0,0.006724299798104104,0.008554553194236942,0.000357661163039939,0.004004455361281137,0.001531059710764179,0.000116772995570624,0.0018553571607839408,0.0,0.0,0.002052624163010044,0.010102186788329914,0.000173242969387949,0.002210750887016684,0.000370779904567291,0.000162175718305204,0.0,0.0,0.0,0.0,0.0,0.0,0.0016070188438052648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4758947316634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000340223494260784,0.000329426176131277,3.1852088482047e-05,0.0,0.0,0.0,0.0
368297838,0.14136216186816594,0.004458187501320681,0.0,0.06439866273233824,0.04950525543827911,0.0,0.0016325367492234391,0.0,0.0,0.0,0.000742840655512806,0.0,0.0,0.0,0.0,0.0007754722423778431,0.0007538242295757721,0.000108319847841316,0.00016629609834317502,0.0,0.002042545856556997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368297861,0.2947147876132816,0.05428094309707669,0.005683580801129544,0.10976820132254586,0.03448788523800044,0.0,0.004688552241962674,0.00422305192471765,0.0,0.00027196516915910197,0.008015659797837223,0.0,0.002085066296886449,0.0,0.0,0.000376408279072213,0.024009746066781554,0.000203583122315937,0.004872039415818578,0.0,0.0018800318005150651,7.870913146845e-06,1.8030531534973e-05,0.0,0.0,0.001619621801720482,0.0044503594306322366,0.002130784579633022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.135631273119e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6443969774296005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000279836082305948,0.00010114960724882801,0.0,0.0
368297885,0.3521792676797641,0.03918748474003043,0.025376848486015922,0.016194083432856905,0.003008244884605192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368299257,0.239031835097719,0.015555167878740379,2.8793992478715003e-05,0.06590606359794271,0.056758494950036445,2.3736126579964004e-05,0.006953490316457566,0.002257640173766862,0.0,0.0,0.004688880642436521,9.410816628935699e-05,0.000204186444589731,0.000117167255701773,0.0,0.001525324912772911,0.001614056607437612,0.0006022444733930011,0.0009488476774625219,0.0,0.000828932447374814,2.7559395290831e-05,0.0,3.4966978418136004e-05,0.0,0.0,0.000321194397428551,0.00063052073156712,3.046667253972e-05,0.0,0.0,0.0,2.907277248888e-06,0.0,1.8837563544166e-05,9.159914619785108e-07,1.6925929188733e-05,0.0,0.0,0.0,1.1111374690955999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2820135117986e-05,0.0
368299282,0.29820708978937266,0.023176142798599062,0.002813108186183678,0.0764738399196226,0.025835889027304205,9.6397643700138e-05,0.007440468293928345,0.013092366419270139,0.0,0.000718633733054125,0.003343909949344998,0.0,0.000251899747259879,0.0,0.0,0.00011761696442014901,0.001077404179305136,0.000180227621051085,0.0003808093973851,0.0,6.802932436844899e-05,0.0,8.719956905326599e-05,1.1839105981122e-05,0.0,0.0,0.0,9.8219044620311e-05,3.1646840988e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0015992810779576088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024816587537352503
