Species,hong_kong,london,ilorin,singapore,new_york_city,porto,barcelona,kyiv,doha,seoul,zurich,lisbon,stockholm,denver,berlin,offa,santiago,naples,paris,sacramento,hamilton,marseille,sofia,vienna,sendai,brisbane,kuala_lumpur,hanoi,auckland,minneapolis,baltimore
Glutamicibacter creatinolyticus,,0.009501187648456057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactococcus lactis,,0.009501187648456057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevundimonas diminuta,,0.009501187648456057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus cohnii,,0.009501187648456057,,,,,,,,0.05,0.019230769230769232,,,,,,,,,,,,,,,,,,,,
Brevibacterium luteolum,,0.007125890736342043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staphylococcus saprophyticus,,0.007125890736342043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janibacter limosus,,0.007125890736342043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter spanius,,0.007125890736342043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leuconostoc mesenteroides,,0.007125890736342043,,,,0.009009009009009009,,,,,,,,,,,,,,,,,,,,,,,,,
Microbacterium oxydans,,0.007125890736342043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenotrophomonas rhizophila,,0.007125890736342043,,,,,,,,,,0.0196078431372549,,,0.1388888888888889,,,,,,0.25,,,,,,,,0.15384615384615385,,
Psychrobacter sp. P11F6,,0.007125890736342043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbacterium sp. TPU 3598,,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbacterium sp. PAMC 28756,,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbacterium aurum,,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kocuria rhizophila,,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kocuria sp. BT304,,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chryseobacterium carnis,,0.004750593824228029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corynebacterium variabile,,0.004750593824228029,0.005128205128205128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chryseobacterium balustinum,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrococcus carbonis,,0.0023752969121140144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
