Species,prevalence
Pseudomonas stutzeri,0.12195121951219512
Cutibacterium acnes,0.024390243902439025
Shewanella sp. FDAARGOS_354,0.024390243902439025
Rheinheimera sp. LHK132,0.024390243902439025
Massilia oculi,0.024390243902439025
